,Place Name,Place ID,Latitude,Longitude,rating,Types,Vicinity
0,Agarwal Namkeen Bhandar,ChIJqbYMeYwFZTkRt5gY8kxEAvg,24.4151928,75.8335733,2.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","Ashram Road, Bhawani Mandi"
1,Ashirwad kachori and chat center,ChIJO4hbfosFZTkRtV3sADtyGnc,24.41545409999999,75.8328672,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","Ashirwad kachori and chat center, sbi bank ,nehru park circle, Bhawani Mandi"
2,Foreign,ChIJb5_fZ98FZTkRSEGca2FkfPk,24.4173186,75.8324561,4.2,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']","Station Road, Bhawani Mandi"
3,Shiv shakti gajak&namkeen,ChIJL8oV5k4FZTkRAkMdDErw1oo,24.41545219999999,75.8324043,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Nehru park, Bhawani Mandi"
4,shree nath pavbhaji center,ChIJlQtcZDAFZTkR4aFhlRsPGWk,24.41513169999999,75.8326699,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","Ashram Road, Bhawani Mandi"
5,Hotel Shri Radhe Govindam,ChIJWRG2ZosFZTkRHHRnquynvT4,24.4155513,75.832022,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","near Nehru Park, Bhawani Mandi"
6,Shree Chat Chopati,ChIJ2dqPnIwFZTkRNIz2lfMKx4I,24.4150947,75.8320667,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","Near nehru park, in front of gurudwara, Bhawani Mandi"
7,ordershake,ChIJ26NYYQ0FZTkRUlu6nka8V64,24.4187531,75.834875,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","near Hanuman Mandir, 169, s3events, near Hanuman Mandir, Bhensoda Mandi, Gandhi Colony, Bhawani Mandi"
8,SHREE GOVIND KACHORI AND MISTHAN BHANDAR,ChIJ2w6m-F4FZTkRjtjKdWTY39k,24.4173358,75.83117159999999,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","opp. vijay takij, GANDHI CIRCLE ke pass Madhav rav sindhiya complex, opp. vijay takij, Bhawani Mandi"
9,Jain Kachori,ChIJi3Vwb54FZTkR6ck2IooDwuo,24.4170562,75.8310649,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","CR8J+RCG, Bhawani Mandi"
10,Bandhu Kachori,ChIJld8SJYsFZTkR2ahldqz4iLg,24.4172125,75.83097409999999,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","Station Road, Gandhi Circle, Bhawani Mandi"
