,Place Name,Place ID,Latitude,Longitude,rating,Types,Vicinity
0,Momo Hut,ChIJqXox4R0HoDkRXrSawnP57co,28.383613,79.4243216,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Rajendra Nagar, Chauraha"
1,Sher-E-Punjab,ChIJNyYb_R0HoDkRjnnLT0v5D24,28.383314,79.424803,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","Shop No.L-6, 8,9, Commercial Complex, Sheel Chauraha, Rajendra Nagar, Bareilly"
2,Vestal Restaurant,ChIJFVVVVUAGoDkRAYiTC1P2FS4,28.3809368,79.42827,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","Near Selection Point Tower, 614, Pilibhit Road, Janakpuri, Bareilly"
3,The Royal Bareilians-Hookah Lounge & Restaurant,ChIJQea6NucGoDkRjTQKfAVMpYE,28.3796582,79.43140729999999,3.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","Opposite Domino's Pizza, Deen Dayal Puram, Bareilly"
4,Pizza Hut,ChIJe-VTnt0GoDkRQLpIbIdHXUc,28.3767007,79.43386280000001,3.9,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","opposite Stadium, Tulip Towers, opposite Stadium, Stadium Road, Bareilly"
5,Domino's Pizza,ChIJRxrgN-cGoDkRu2NW1ecWfjg,28.3794308,79.4315567,4.1,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","Plot No. A, Ground Floor, Convenient Shopping, Deendayal Puram, Bareilly"
6,Atithi,ChIJswXXhnMHoDkRTrxyMeKgHE0,28.3819168,79.4226413,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Janakpuri, Bareilly"
7,Momo's Point,ChIJiSmc6B0HoDkR3yYsefSHC6s,28.3819168,79.4226413,3.2,"['grocery_or_supermarket', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","Janakpuri, Bareilly"
8,Garhwal Dosa Corner,ChIJLSWoYR4HoDkRm6Oy2Xdk324,28.3817793,79.42273689999999,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","9CJF+P39, Janakpuri, Bareilly"
9,bareilly vah-g-vah,ChIJ-2S8vDYHoDkRRQzyTUFMPkU,28.3818227,79.4228442,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Janakpuri, Bareilly"
10,Khurana'g Enterprises,ChIJ72aYZh4HoDkR_LgHwTPPjtg,28.381908,79.423008,2.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","near Hotel Mahaveer, 26, Janakpuri, Bareilly"
11,chicken hutt,ChIJ1-e14iwHoDkRlH-Awto0c_I,28.3815447,79.42286000000001,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","704, Janakpuri, Bareilly"
12,Sindhi Restaurant,ChIJ71BTZh4HoDkRiqGgz0oV0-0,28.3817524,79.4231573,3.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","9CJF+P73, Janakpuri, Bareilly"
13,Cakes & Fast Food,ChIJyRELwkMHoDkRRZT7tAfu3Qw,28.3809374,79.4212208,0.0,"['bakery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","Gandhi Nagar, Janakpuri, Bareilly"
14,Hotel Shree Mahaveer,ChIJCzZdaR4HoDkR4eHfs638cCk,28.3816566,79.42334749999999,3.5,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']","Chauraha, Janakpuri, Bareilly"
15,Shri Satkar Restaurant,ChIJjRH9juIGoDkRKOHYGo3zRtA,28.382416,79.423451,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Rajendra Nagar, Bareilly"
16,H,ChIJqSwcF9UHoDkR4d96hmpYS7s,28.3813059,79.42341689999999,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","9CJF+G9F, Janakpuri, Bareilly"
17,Chana Jor(1960) By J.P. Sharma,ChIJ3fHlH8oHoDkRDKA7yrkuqog,28.3832933,79.4238769,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","2, near Sheel Hospital, Janakpuri, Bareilly"
18,Anand Chicken Corner,ChIJtf894B0HoDkRMIoSWyXO6JY,28.3831757,79.4240592,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","9CMF+7JF, Janakpuri, Bareilly"
19,Ajay Kirana Store,ChIJ17Hx4B0HoDkRAAAAsJy_SRg,28.383328,79.4240896,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Kotwali Road, Rajendra Nagar, Bareilly"
20,Veganbistro,ChIJTV59xB0HoDkRHujdc3Afl6M,28.3839664,79.4235987,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","B-118/1 Rajendra Nagar, Izatnagar, Bareilly"
21,Brijwasi Mishthan Bhandar,ChIJjRH9juIGoDkRESO5PUVjNiQ,28.3833984,79.4244495,4.6,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']","Sheel Chowraha, Rajendra Nagar, Bareilly"
22,GANGARAM JUICE CORNER,ChIJwejc2e0HoDkRirFrFiQD5DA,28.38376799999999,79.4241866,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","9CMF+GM3, Rajendra Nagar, Bareilly"
23,Delhi Chinese Food,ChIJOYvh4h0HoDkR0ASViud5jZI,28.38332259999999,79.42456519999999,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","9CMF+8RG, Rajendra Nagar, Bareilly"
24,Veerji Malai Chaap Wale,ChIJr_XKV-QHoDkRr8rOghpqHJg,28.3838181,79.4241967,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","Janakpuri, Rajendra Nagar, Bareilly"
25,Mukesh Nashta Corner,ChIJlQXuEIcHoDkRUbhcGBt4BTM,28.383874,79.4242119,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Unnamed Road, Janakpuri, Bareilly"
26,Pizzitalia Bareilly,ChIJcWadPIoHoDkR-VVxyVlKJK4,28.3833999,79.4246249,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","9CMF+9R5, Rajendra Nagar, Bareilly"
27,The Emy's kitchen,ChIJ-euU560HoDkRDpO-RS1QZ8M,28.3839004,79.42422549999999,5.0,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']","Rajendra Nagar, Bareilly"
28,Pizza Point,ChIJaREi6ZEHoDkR8HLl-fBUL5c,28.3833539,79.424701,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","9CMF+8VW, Rajendra Nagar, Bareilly"
29,"Kathi point restaurant, Bareilly",ChIJHZdM7x0HoDkRNtG1Rwi4lJ8,28.38395249999999,79.42424489999999,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","Rajendra Nagar, Bareilly"
30,The Masala Dabba,ChIJbdyLyucHoDkRAQSNlUNPyP8,28.3832593,79.42482059999999,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","L-11, Commercial Complex, Sheel Chauraha, Rajendra Nagar, Bareilly"
31,Kingdom of Momos,ChIJ4bR-lgwHoDkRu94RMVjQtn8,28.3832897,79.4248357,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","Shop No. L-11, Commercial Complex, Sheel Chauraha"
32,Tadka,ChIJs_A64R0HoDkRe7C-M_Clozw,28.3837484,79.4245423,3.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","opposite Sheel Hospital, Main Market Chauraha, Rajendra Nagar, opposite Sheel Hospital"
33,Bombay Fried Chicken,ChIJDRyM_R0HoDkRZ6wypQOsLA4,28.3832165,79.424925,3.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","168/3, Dhanvantri Marg, Janakpuri, Bareilly"
